Linux 6.8.0-49-generic (samoy-pc) 	12/09/2024 	_x86_64_	(12 CPU)

01:40:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:43:22 PM  all   14.11    0.00    3.87   11.10    0.00    0.09    0.00    0.00    0.00   70.83
01:43:23 PM  all   15.23    0.00    4.28   11.21    0.00    0.09    0.00    0.00    0.00   69.20
01:43:24 PM  all   14.49    0.00    4.18   10.83    0.00    0.26    0.00    0.00    0.00   70.25
01:43:25 PM  all   14.48    0.00    3.68   10.88    0.00    0.09    0.00    0.00    0.00   70.87
01:43:26 PM  all   13.40    0.00    3.90   10.86    0.00    0.08    0.00    0.00    0.00   71.76
01:43:27 PM  all   13.75    0.00    4.36   10.25    0.00    0.17    0.00    0.00    0.00   71.48
01:43:28 PM  all   13.69    0.00    3.51   10.44    0.00    0.26    0.00    0.00    0.00   72.11
01:43:29 PM  all   15.31    0.00    4.19   11.12    0.00    0.17    0.00    0.00    0.00   69.20
01:43:30 PM  all   14.01    0.00    3.74   10.36    0.00    0.08    0.00    0.00    0.00   71.82
01:43:31 PM  all   12.25    0.00    3.62    9.75    0.00    0.17    0.00    0.00    0.00   74.20
01:43:32 PM  all   12.00    0.00    3.43    9.77    0.00    0.09    0.00    0.00    0.00   74.72
01:43:33 PM  all   14.96    0.00    3.76   10.34    0.00    0.17    0.00    0.00    0.00   70.77
01:43:34 PM  all   14.46    0.00    3.40   10.80    0.00    0.17    0.00    0.00    0.00   71.17
01:43:35 PM  all   13.00    0.00    3.93   10.69    0.00    0.17    0.00    0.00    0.00   72.20
01:43:36 PM  all   17.19    0.00    3.91   10.55    0.00    0.09    0.00    0.00    0.00   68.26
01:43:37 PM  all   13.78    0.00    3.77   10.53    0.00    0.17    0.00    0.00    0.00   71.75
01:43:38 PM  all   14.86    0.00    3.84   10.59    0.00    0.09    0.00    0.00    0.00   70.62
01:43:39 PM  all   16.12    0.00    3.52   10.72    0.00    0.09    0.00    0.00    0.00   69.55
01:43:40 PM  all   14.51    0.00    3.33   11.09    0.00    0.09    0.00    0.00    0.00   70.99
01:43:41 PM  all   13.47    0.00    3.54   10.71    0.00    0.17    0.00    0.00    0.00   72.11
01:43:42 PM  all   13.76    0.00    3.59   10.26    0.00    0.26    0.00    0.00    0.00   72.14
01:43:43 PM  all   15.75    0.00    3.51   10.87    0.00    0.26    0.00    0.00    0.00   69.61
01:43:44 PM  all   15.20    0.00    4.18   10.25    0.00    0.17    0.00    0.00    0.00   70.20
01:43:45 PM  all   14.08    0.00    3.75   11.09    0.00    0.17    0.00    0.00    0.00   70.90
01:43:46 PM  all   12.07    0.00    3.60   10.53    0.00    0.26    0.00    0.00    0.00   73.54
01:43:47 PM  all   15.72    0.00    4.30   11.51    0.00    0.09    0.00    0.00    0.00   68.38
01:43:48 PM  all   14.74    0.00    3.68   10.97    0.00    0.09    0.00    0.00    0.00   70.52
01:43:49 PM  all   13.97    0.00    3.94   10.63    0.00    0.26    0.00    0.00    0.00   71.21
01:43:50 PM  all   15.13    0.00    4.27   10.17    0.00    0.17    0.00    0.00    0.00   70.26
01:43:51 PM  all   14.22    0.00    3.86   10.54    0.00    0.09    0.00    0.00    0.00   71.29
01:43:52 PM  all   16.04    0.00    3.69   10.46    0.00    0.09    0.00    0.00    0.00   69.73
01:43:53 PM  all   13.86    0.00    3.57    9.78    0.00    0.26    0.00    0.00    0.00   72.53
01:43:54 PM  all   16.23    0.00    4.10   10.25    0.00    0.17    0.00    0.00    0.00   69.26
01:43:55 PM  all   13.78    0.00    4.11   10.62    0.00    0.09    0.00    0.00    0.00   71.40
01:43:56 PM  all   14.60    0.00    4.27   11.36    0.00    0.17    0.00    0.00    0.00   69.60
01:43:57 PM  all   13.81    0.00    4.37   10.72    0.00    0.17    0.00    0.00    0.00   70.93
01:43:58 PM  all   16.20    0.00    3.86   10.88    0.00    0.09    0.00    0.00    0.00   68.98
01:43:59 PM  all   15.69    0.00    4.01   11.59    0.00    0.26    0.00    0.00    0.00   68.46
01:44:00 PM  all   12.77    0.00    3.74    9.96    0.00    0.00    0.00    0.00    0.00   73.53
01:44:01 PM  all   13.32    0.00    3.50   10.85    0.00    0.17    0.00    0.00    0.00   72.16
01:44:02 PM  all   15.09    0.09    3.77   10.63    0.00    0.09    0.00    0.00    0.00   70.33
01:44:03 PM  all   16.32    0.00    4.27   10.51    0.00    0.26    0.00    0.00    0.00   68.63
01:44:04 PM  all   12.19    0.00    3.58   10.32    0.00    0.09    0.00    0.00    0.00   73.83
01:44:05 PM  all   14.71    0.00    4.15   10.38    0.00    0.00    0.00    0.00    0.00   70.76
01:44:06 PM  all   14.12    0.00    3.57   11.22    0.00    0.09    0.00    0.00    0.00   71.00
01:44:07 PM  all   14.29    0.00    3.96   10.67    0.00    0.17    0.00    0.00    0.00   70.91
01:44:08 PM  all   12.96    0.00    3.41   10.14    0.00    0.17    0.00    0.00    0.00   73.32
01:44:09 PM  all   16.38    0.00    4.10   10.32    0.00    0.00    0.00    0.00    0.00   69.20
01:44:10 PM  all   13.16    0.00    3.53   10.83    0.00    0.17    0.00    0.00    0.00   72.31
01:44:11 PM  all   13.83    0.00    4.53   10.76    0.00    0.17    0.00    0.00    0.00   70.71
